"Discontinuation reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Discontinuation status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Discontinuation date","Anticipated discontinuation date",Reason,"Date Created","Date Updated","Tier 3"
120952,00060208,Discontinuation,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% Sodium Chloride Injection, USP, 250 mL","SODIUM CHLORIDE",900MG,"250 mL AVIVA Container (JE1322)","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2019-05-07,2019-05-07,"Manufacturing issues",2020-07-23,2020-07-23,No
120955,00060208,Discontinuation,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% Sodium Chloride Injection, USP, 500 mL","SODIUM CHLORIDE",900MG,"500 mL AVIVA Container (JE1323)","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2019-05-07,2019-05-07,"Manufacturing issues",2020-07-23,2020-07-23,No
178273,00783633,Discontinuation,"1.6% SODIUM CHLORDIE PROCESSING SOLUTION","BAXTER CORPORATION","Sodium Chloride for Processing","SODIUM CHLORIDE",1.6G,"2000 ML (4B7871)","IRRIGATION; IRRIGATION",Discontinued,"SOLUTION; SOLUTION",B05CB,"IRRIGATING SOLUTIONS",2022-12-31,2022-12-31,"Business reasons",2022-12-13,2023-01-01,No
148651,00038881,Discontinuation,"3.33% DEXTROSE AND 0.3% SODIUM CHLORIDE","ICU MEDICAL CANADA INC","Dextrose and Sodium Chloride Injection USP","SODIUM CHLORIDE; DEXTROSE","3MG; 33.3MG","500 mL","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BB,"I.V. SOLUTIONS",2022-08-04,2022-02-01,"Business reasons",2021-11-02,2022-11-16,No
148660,00038881,Discontinuation,"3.33% DEXTROSE AND 0.3% SODIUM CHLORIDE","ICU MEDICAL CANADA INC","Dextrose and Sodium Chloride Injection USP","SODIUM CHLORIDE; DEXTROSE","3MG; 33.3MG","1000 mL","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BB,"I.V. SOLUTIONS",2022-08-04,2022-05-01,"Business reasons",2021-11-02,2022-11-16,No
27502,02299119,Discontinuation,"40(MEQ)MMOL/L POTASSIUM CHLORIDE IN/ET 0.9% CHLORURE DE SODIUM/SODIUM CHLORIDE INJECTION USP","HOSPIRA HEALTHCARE CORPORATION","Potassium Chloride in 0.9% Sodium IN/ET 0.9% Chlorure De Sodium/Sodium Chlorure","POTASSIUM CHLORIDE; SODIUM CHLORIDE","0.3G; 0.9G",1000ml,INTRAVENOUS,Discontinued,SOLUTION,B05BB,"I.V. SOLUTIONS",2018-03-31,2018-01-31,"Business reasons",2017-10-30,2018-11-29,No
148686,00038873,Discontinuation,"5% DEXTROSE AND 0.225% SODIUM CHLORIDE","ICU MEDICAL CANADA INC","Dextrose and Sodium Chloride Injection USP","SODIUM CHLORIDE; DEXTROSE","2.25MG; 50MG","500 mL","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BB,"I.V. SOLUTIONS",2023-02-01,2023-01-01,"Business reasons",2021-11-02,2023-02-02,No
125354,00038903,Discontinuation,"5% DEXTROSE AND 0.45% SODIUM CHLORIDE","ICU MEDICAL CANADA INC","Dextrose and Sodium Chloride Injection USP","DEXTROSE; SODIUM CHLORIDE","50MG; 4.5MG","500 mL","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BB,"I.V. SOLUTIONS",2020-09-29,,"Business reasons",2020-09-30,2020-09-30,No
208276,00038903,Discontinuation,"5% DEXTROSE AND 0.45% SODIUM CHLORIDE","ICU MEDICAL CANADA INC","Dextrose and Sodium Chloride Injection USP","SODIUM CHLORIDE; DEXTROSE","4.5MG; 50MG","1000 mL","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BB,"I.V. SOLUTIONS",2025-09-09,2025-08-31,"Business reasons",2023-10-26,2025-09-10,No
148677,00038946,Discontinuation,"5% DEXTROSE AND 0.9% SODIUM CHLORIDE","ICU MEDICAL CANADA INC","Dextrose and Sodium Chloride Injection USP","SODIUM CHLORIDE; DEXTROSE","9MG; 50MG","500 mL","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BB,"I.V. SOLUTIONS",2022-11-30,2022-09-01,"Business reasons",2021-11-02,2022-12-15,No
246147,00038946,Discontinuation,"5% DEXTROSE AND 0.9% SODIUM CHLORIDE","ICU MEDICAL CANADA INC","Dextrose and Sodium Chloride Injection USP","SODIUM CHLORIDE; DEXTROSE","9MG; 50MG","1000 mL","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BB,"I.V. SOLUTIONS",2024-10-31,2024-10-31,"Business reasons",2024-12-20,2024-12-19,No
120958,00060348,Discontinuation,"5% DEXTROSE INJECTION, USP","BAXTER CORPORATION","5% Dextrose Injection, USP",DEXTROSE,5G,"250 mL AVIVA Container (JE0062)","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BA,"I.V. SOLUTIONS",2019-05-07,2019-05-07,"Manufacturing issues",2020-07-23,2020-07-23,No
120961,00060348,Discontinuation,"5% DEXTROSE INJECTION, USP","BAXTER CORPORATION","5% Dextrose Injection, USP",DEXTROSE,5G,"500 mL AVIVA Container (JE0063)","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BA,"I.V. SOLUTIONS",2019-05-07,2019-05-07,"Manufacturing issues",2020-07-23,2020-07-23,No
88150,00180041,Discontinuation,"A.C. & C 8MG TAB","VITA HEALTH PRODUCTS INC","Acetylsalicylic Acid (A.S.A.) 375 mg with 15 mg Caffeine and 8 mg Codeine Phosphate","ACETYLSALICYLIC ACID; CODEINE PHOSPHATE; CAFFEINE","375MG; 8MG; 15MG","50, 100, 200",ORAL,Discontinued,TABLET,N02AJ,OPIOIDS,2019-06-29,,"Other (Please describe in comments)",2019-07-02,2019-07-02,No
