"Shortage reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Shortage status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Anticipated start date","Actual start date","Estimated end date","Actual end date",Reason,"Date Created","Date Updated","Tier 3"
75200,00437999,Shortage,"(20MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP","BAXTER CORPORATION","Potassium Chloride in 5% Dextrose Injection","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","5G; 150MG; 450MG","1000 mL",INTRAVENOUS,Resolved,SOLUTION,B05BB,"I.V. SOLUTIONS",2019-02-08,2019-02-08,2019-02-12,2019-02-12,"Demand increase for the drug.",2019-02-08,2019-02-13,No
179915,00828602,Shortage,"0.4% LIDOCAINE HYDROCHLORIDE AND 5% DEXTROSE INJECTION","BAXTER CORPORATION","0.4% LIDOCAINE HYDROCHLORIDE AND 5% DEXTROSE INJECTION","DEXTROSE; LIDOCAINE HYDROCHLORIDE","50MG; 4MG","500mL bag","INTRAVENOUS; INTRAVENOUS",Resolved,"SOLUTION; SOLUTION",C01BB,"ANTIARRHYTHMICS, CLASS I AND III",2023-01-09,2023-01-09,2023-02-13,2023-02-13,"Demand increase for the drug.",2023-01-05,2023-02-14,No
160191,02395150,Shortage,"0.9% SODIUM CHLORIDE INJECTION","FRESENIUS KABI CANADA LTD","Sodium Chloride 0.9% Injection","SODIUM CHLORIDE",900MG,100mL,"INTRAVENOUS; INTRAVENOUS",Resolved,"SOLUTION; SOLUTION",B05XA,"I.V. SOLUTION ADDITIVES",2022-05-04,2022-05-04,2022-06-23,2022-06-20,"Delay in shipping of the drug.",2022-05-06,2022-06-21,No
162651,02395150,Shortage,"0.9% SODIUM CHLORIDE INJECTION","FRESENIUS KABI CANADA LTD","Sodium Chloride 0.9% freeflex® Bag 50mL","SODIUM CHLORIDE",900MG,50mL,"INTRAVENOUS; INTRAVENOUS",Resolved,"SOLUTION; SOLUTION",B05XA,"I.V. SOLUTION ADDITIVES",2022-06-09,2022-06-09,2022-06-23,2022-06-20,"Delay in shipping of the drug.",2022-06-15,2022-06-21,No
170890,02395150,Shortage,"0.9% SODIUM CHLORIDE INJECTION","FRESENIUS KABI CANADA LTD","0.9% SODIUM CHLORIDE INJECTION","SODIUM CHLORIDE",900MG,1000mL,"INTRAVENOUS; INTRAVENOUS",Resolved,"SOLUTION; SOLUTION",B05XA,"I.V. SOLUTION ADDITIVES",,2022-10-01,,2022-11-30,"Other (Please describe in comments)",2022-10-03,2022-12-05,No
236464,02395150,Shortage,"0.9% SODIUM CHLORIDE INJECTION","FRESENIUS KABI CANADA LTD","0.9% SODIUM CHLORIDE INJECTION","SODIUM CHLORIDE",900MG,"500 mL","INTRAVENOUS; INTRAVENOUS",Resolved,"SOLUTION; SOLUTION",B05XA,"I.V. SOLUTION ADDITIVES",,2024-09-03,2024-10-08,2024-10-08,"Disruption of the manufacture of the drug.",2024-09-03,2024-10-09,No
241158,02395150,Shortage,"0.9% SODIUM CHLORIDE INJECTION","FRESENIUS KABI CANADA LTD","0.9% SODIUM CHLORIDE INJECTION","SODIUM CHLORIDE",900MG,"500 mL","INTRAVENOUS; INTRAVENOUS",Resolved,"SOLUTION; SOLUTION",B05XA,"I.V. SOLUTION ADDITIVES",,2024-10-28,2024-11-19,2024-11-19,"Delay in shipping of the drug.",2024-10-25,2025-04-08,No
34506,01924303,Shortage,"0.9% SODIUM CHLORIDE INJECTION USP","B. BRAUN MEDICAL INC","Sodium Chloride","SODIUM CHLORIDE",0.9%,"100mL, 150mL, 250mL, 500mL",INTRAVENOUS,Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2017-12-22,2017-12-22,,2019-01-01,"Disruption of the manufacture of the drug.",2018-01-02,2019-11-06,No
145824,02150204,Shortage,"0.9% SODIUM CHLORIDE INJECTION USP","OMEGA LABORATORIES LIMITED","Sodium Chloride for Injection USP","SODIUM CHLORIDE",9MG,"10 x 10mL vial / fiole","SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR",Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",,2022-02-01,2022-05-05,2022-05-05,"Demand increase for the drug.",2021-09-17,2023-01-20,No
287084,02304341,Shortage,"0.9% SODIUM CHLORIDE INJECTION USP","HIKMA CANADA LIMITED","0.9% SODIUM CHLORIDE INJECTION USP","SODIUM CHLORIDE",9MG,10mL,"SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR","Actual shortage",SOLUTION,V07AB,"ALL OTHER NON-THERAPEUTIC PRODUCTS",2026-07-01,2026-07-01,,,"Disruption of the manufacture of the drug.",2026-06-12,2026-07-03,No
85239,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"100 mL",INTRAVENOUS,Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2019-05-29,2019-05-29,2019-08-08,2019-08-08,"Shortage of an active ingredient.",2019-05-29,2019-08-09,No
91156,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% Sodium Chloride Injection, USP","SODIUM CHLORIDE",900MG,"50 mL (JB1301)",INTRAVENOUS,Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2019-08-08,2019-08-08,2019-08-29,2019-08-29,"Shortage of an active ingredient.",2019-08-08,2019-08-30,No
91720,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"100 mL (JB0043)",INTRAVENOUS,Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2019-08-16,2019-08-16,2019-11-08,2019-11-08,"Shortage of an active ingredient.",2019-08-16,2019-11-09,No
91723,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"50 mL (JB0042)",INTRAVENOUS,Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2019-08-16,2019-08-16,2019-11-08,2019-11-08,"Shortage of an active ingredient.",2019-08-16,2019-11-09,No
94411,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"50 mL (JB1308M)",INTRAVENOUS,Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2019-09-19,2019-09-19,2019-10-09,2019-10-09,"Shortage of an active ingredient.",2019-09-19,2019-10-10,No
98688,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"500 mL (JB1323)",INTRAVENOUS,Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2019-11-14,2019-11-14,2019-12-17,2019-12-17,"Demand increase for the drug.",2019-11-14,2019-12-18,No
99361,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"25 mL (JB1300)",INTRAVENOUS,Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2019-11-20,2019-11-20,2019-11-29,2019-11-29,"Demand increase for the drug.",2019-11-20,2019-11-30,No
150517,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"50 mL (JB0042)","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2021-12-06,2021-12-06,2022-07-15,2022-07-22,"Disruption of the manufacture of the drug.",2021-12-06,2022-07-23,No
150520,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"100 mL (JB0043P)","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2021-12-06,2021-12-06,2022-07-15,2022-07-22,"Disruption of the manufacture of the drug.",2021-12-06,2022-07-23,No
